"","x"
"1",FALSE
"2",FALSE
"3",FALSE
"4",FALSE
"5",TRUE
"6",FALSE
"7",TRUE
"8",FALSE
"9",FALSE
"10",FALSE
"11",FALSE
"12",FALSE
"13",TRUE
"14",TRUE
"15",FALSE
"16",TRUE
"17",TRUE
"18",FALSE
"19",FALSE
"20",FALSE
"21",FALSE
"22",FALSE
"23",FALSE
"24",TRUE
"25",FALSE
"26",TRUE
"27",TRUE
"28",FALSE
"29",FALSE
"30",FALSE
"31",FALSE
"32",TRUE
"33",TRUE
"34",TRUE
"35",TRUE
"36",FALSE
"37",TRUE
"38",FALSE
"39",TRUE
"40",FALSE
"41",FALSE
"42",TRUE
"43",TRUE
"44",TRUE
"45",TRUE
"46",TRUE
"47",TRUE
"48",TRUE
"49",TRUE
"50",TRUE
"51",TRUE
"52",TRUE
"53",FALSE
"54",TRUE
"55",FALSE
"56",FALSE
"57",FALSE
"58",TRUE
"59",FALSE
"60",FALSE
"61",FALSE
"62",FALSE
"63",FALSE
"64",TRUE
"65",TRUE
"66",FALSE
"67",FALSE
"68",FALSE
"69",FALSE
"70",FALSE
"71",FALSE
"72",TRUE
"73",TRUE
"74",FALSE
"75",FALSE
"76",FALSE
"77",TRUE
"78",FALSE
"79",TRUE
"80",TRUE
"81",FALSE
"82",TRUE
"83",TRUE
"84",FALSE
"85",FALSE
"86",TRUE
"87",FALSE
"88",TRUE
"89",FALSE
"90",TRUE
"91",FALSE
"92",TRUE
"93",FALSE
"94",FALSE
"95",TRUE
"96",FALSE
"97",TRUE
"98",FALSE
"99",FALSE
"100",FALSE
"101",FALSE
"102",FALSE
"103",TRUE
"104",FALSE
"105",TRUE
"106",FALSE
"107",TRUE
"108",TRUE
"109",TRUE
"110",FALSE
"111",FALSE
"112",FALSE
"113",TRUE
"114",FALSE
"115",TRUE
"116",FALSE
"117",FALSE
"118",FALSE
"119",TRUE
"120",FALSE
"121",FALSE
"122",TRUE
"123",FALSE
"124",FALSE
"125",FALSE
"126",TRUE
"127",FALSE
"128",TRUE
"129",FALSE
"130",FALSE
"131",TRUE
"132",FALSE
"133",FALSE
"134",FALSE
"135",FALSE
"136",TRUE
"137",TRUE
"138",FALSE
"139",FALSE
"140",FALSE
"141",TRUE
"142",TRUE
"143",FALSE
"144",TRUE
"145",TRUE
"146",FALSE
"147",FALSE
"148",FALSE
"149",TRUE
"150",TRUE
"151",FALSE
"152",FALSE
"153",FALSE
"154",FALSE
"155",FALSE
"156",FALSE
"157",TRUE
"158",FALSE
"159",TRUE
