"","Jesse_aggname","n"
"1","Actinomarinales",57
"2","Dadabacteriales",7
"3","Enterobacterales",978
"4","Flavobacteriales",1220
"5","Gemmatimonadota",24
"6","HOC36",5
"7","Microtrichales",66
"8","Planctomycetota",230
"9","Pseudomonadales, excl. SUP05 and SAR86",1243
"10","Puniceispirillales",70
"11","Rhodobacterales",1191
"12","Rhodospirillales",201
"13","SAR11_clade",981
"14","SAR202_clade",91
"15","SAR324_clade",9
"16","SAR406_clade",54
"17","SAR86_clade",156
"18","Thermoplasmata",77
"19","Thioglobaceae",48
"20","UBA10353_marine_group",5
"21","Verrucomicrobiota",152
