"","Jesse_aggname","n"
"1","Actinomarinales",14
"2","Dadabacteriales",2
"3","Enterobacterales",143
"4","Flavobacteriales",245
"5","Gemmatimonadota",2
"6","HOC36",3
"7","Microtrichales",17
"8","Planctomycetota",56
"9","Pseudomonadales, excl. SUP05 and SAR86",159
"10","Puniceispirillales",40
"11","Rhodobacterales",165
"12","Rhodospirillales",72
"13","SAR11_clade",244
"14","SAR202_clade",39
"15","SAR324_clade",7
"16","SAR406_clade",32
"17","SAR86_clade",73
"18","Thermoplasmata",32
"19","Thioglobaceae",12
"20","UBA10353_marine_group",2
"21","Verrucomicrobiota",58
