"","Accession","ASV","OGT99","nt99","OGT95","nt95","CUBHE","CUB","dCUB","CPB","ConsistencyHE","nHE","nGenes","d20C","OGT","d99","transect","Jesse_aggname","nCAZy","All1","dCUBp","MeanRelAb","MaxRelAb","AllN","PC1","PC1t"
"1","GCA_000027065.2",NA,15.39635,1,15.39635,1,0.972675351539787,NA,-0.74882335432823,-0.333826937480775,0.58856651499748,48,4197,1.32909749494546,15.39635,0.782158267123993,NA,"Enterobacterales",128,129,1.02228388766403,5.2722902212268e-07,7.68592246441418e-05,0.0307362401715511,2.28264375116137,5.66085312373097
"2","GCA_000153445.1",NA,16.6484020833333,1.72916666666667,16.6991571643519,4.97916666666667,0.673886361069694,NA,-0.223632541068632,-0.374335427461491,0.558090235463132,47,2341,9.87541170517948,16.6484020833333,5.052926570895,NA,"Pseudomonadales, excl. SUP05 and SAR86",45,46,0.497093074404434,0.0125270564094642,0.18000329218107,0.01964972234088,-0.234296147301938,3.14391322526767
"3","GCA_000153745.1",NA,7.437942,1.68,7.46926906666667,5.56,0.630921096620208,NA,-0.189585240543271,-0.327233836829372,0.546953116659201,46,2199,13.4351415670933,7.437942,9.36111553254562,NA,"Rhodobacterales",32,33,0.463045773879073,0.0104384811811909,0.179144464620605,0.0150068212824011,-0.342948995139419,3.03526037743019
"4","GCA_000156115.1",NA,13.5167470588235,1.52100840336134,13.5836138755502,3.94117647058824,0.693918766615,NA,-0.252538232646204,-0.307701948181901,0.511540677866508,43,4112,3.77345496864781,13.5167470588235,4.86603872436492,NA,"Rhodobacterales",62,63,0.525998765982006,0.0189140307378006,0.199548847808902,0.0153210116731518,0.75849677914787,4.13670615171748
"5","GCA_000158135.1",NA,13.5530790697674,1.58139534883721,13.5668229798819,4.13178294573643,0.730509697815541,NA,-0.317849884154986,-0.291711857343091,0.515920474617698,41,4374,3.04841100029057,13.5530790697674,3.73999374533753,NA,"Rhodobacterales",73,74,0.591310417490788,0.0100827322161444,0.0758356268813167,0.0169181527206219,1.0823525777785,4.4605619503481
"6","GCA_000158155.1",NA,16.2468355555556,1.48888888888889,16.3015221851852,2.88888888888889,0.650635588631069,NA,-0.185914114021294,-0.34725024560078,0.549420089139226,45,3740,11.0510326739232,16.2468355555556,6.01094266356024,NA,"Pseudomonadales, excl. SUP05 and SAR86",65,66,0.459374647357096,0.000906912835402764,0.0112615948349159,0.0176470588235294,0.314549937642535,3.69275931021214
"7","GCA_000161775.1",NA,14.698438671875,1.6015625,14.7242373645213,4.2734375,0.685733016442961,NA,-0.261098363703482,-0.241656005264454,0.496295867399472,43,3494,3.465556488722,14.698438671875,4.95557363278605,NA,"Rhodobacterales",62,63,0.534558897039284,0.0115266886675274,0.0754096155247508,0.0180309101316543,0.457641107610114,3.83585048017972
"8","GCA_000163555.2",NA,24.5559,1.85714285714286,23.6692582851474,6.78571428571429,0.523507729043963,NA,-0.00630381327658537,-0.402311488414655,0.491512978267346,38,1324,10.8342899128066,24.5559,11.6316492308664,NA,"SAR11_clade",26,27,0.279764346612387,0.000507181170082764,0.00598308471583252,0.020392749244713,-1.47884965608513,1.89935971648448
"9","GCA_000169075.1",NA,6.66916666666667,1.66666666666667,6.70170777777778,4.66666666666667,0.629506336937192,NA,-0.165108727205539,-0.339641767566297,0.549649045494958,47,3565,14.0825971778428,6.66916666666667,9.40398534770431,NA,"Pseudomonadales, excl. SUP05 and SAR86",62,63,0.438569260541341,9.52267258191923e-06,0.000346157650084067,0.017671809256662,0.160205895320766,3.53841526789037
"10","GCA_000169115.1",NA,20.8639560283688,1.56737588652482,20.7464981838906,3.09219858156028,0.554685859841116,NA,-0.0330863299061109,-0.346443163441544,0.52907608640508,47,3157,19.8756603136517,20.8639560283688,10.5000251661847,NA,"Pseudomonadales, excl. SUP05 and SAR86",34,35,0.306546863241913,0.00124581442028844,0.0122744041657076,0.0110864745011086,-0.382887771835661,2.99532160073394
"11","GCA_000169395.1",NA,7.33777592592593,1.66666666666667,7.43621240740741,5.37037037037037,0.70286820619645,NA,-0.281205862592929,-0.34015728505678,0.543490930448103,42,3519,5.94281888126785,7.33777592592593,5.44060646188369,NA,"Rhodobacterales",62,63,0.554666395928731,0.010443162262745,0.179144464620605,0.0179028132992327,0.54176057038467,3.91996994295428
"12","GCA_000169995.1",NA,15.2846214285714,1.42857142857143,14.7425528571429,3,0.798285351136631,NA,-0.394178288807314,-0.366076041160571,0.529458890875381,39,5240,1.92840642641513,15.2846214285714,2.23188367866875,NA,"Enterobacterales",97,98,0.667638822143116,0.000240964730130078,0.0389132516759917,0.0187022900763359,1.72149494028958,5.09970431285919
