"ASV" "CopiotrophyIndex" "dCUB" "nGenes" "nCAZy"
"1" "4dd956d7dd0d752408fe090ef3bac1a1" 5.1185232060331 -0.324407907631006 5738 33
"2" "4165a7b6447aa6e1d4cf940d78b72261" 3.43140142875509 -0.223632541068632 2341 26
"3" "4aaa52b34a6e4d5bfa00e803d8f14231" 3.43140142875509 -0.223632541068632 2341 26
"4" "77ba7c8c4951a3c3f3d33241a577fefb" 3.43140142875509 -0.223632541068632 2341 26
"5" "82d282a1995e15e44e1898a60f40d437" 3.43140142875509 -0.223632541068632 2341 26
"6" "8792aee9218c2129e27382bd689ea4b8" 3.43140142875509 -0.223632541068632 2341 26
"7" "926b3767ed0cbe3bea13ad86be47af8d" 3.43140142875509 -0.223632541068632 2341 26
"8" "9fe786df788998d0b92a10a9fc1cf10c" 3.43140142875509 -0.223632541068632 2341 26
"9" "ab27d4397aee23427cb8b8b3add44835" 3.43140142875509 -0.223632541068632 2341 26
"10" "bad7f02a49b19e980578a0b46228c16c" 3.43140142875509 -0.223632541068632 2341 26
"11" "6b9dd64d080d53d989a8407d9806429e" 2.7716694440887 -0.189585240543271 2199 5
"12" "75490a5145c170d15a1b6a505ed37356" 2.7716694440887 -0.189585240543271 2199 5
"13" "b3e0ec6bc683fbc74058605f101c43e8" 2.7716694440887 -0.189585240543271 2199 5
"14" "6ac45b550b50527e00131a14b0259cdc" 4.00177897888326 -0.252538232646204 4112 17
"15" "6c2ff13813ac716e9ca95c7c99aa7504" 4.00177897888326 -0.252538232646204 4112 17
"16" "c0c069d0b4211c288fbd6a6fd6d2f23f" 4.00177897888326 -0.252538232646204 4112 17
"17" "7e9e7ef51add59b9a6ac6f4522fd418f" 4.38187615659641 -0.317849884154986 4374 19
"18" "9107943467b82f0ff4a36d2c3a91a01f" 4.38187615659641 -0.317849884154986 4374 19
"19" "ec786b0c9cef2a042f7e9459433bc97f" 4.38187615659641 -0.317849884154986 4374 19
"20" "2de9544110bbff244c23d7269abb451d" 1.70994757677412 -0.00630381327658537 1324 4
"21" "4020190ce23968c48d5471f4b3773b01" 1.70994757677412 -0.00630381327658537 1324 4
"22" "bc61037a17c9c05b538e46d60f1bae11" 1.70994757677412 -0.00630381327658537 1324 4
"23" "f5db73610916da0284122ab54a820b97" 1.70994757677412 -0.00630381327658537 1324 4
"24" "4db097b679bb619a6867b96df5eb034d" 3.50837156110012 -0.165108727205539 3565 21
"25" "9ec2b64bae855815feb99259bee5901a" 3.50837156110012 -0.165108727205539 3565 21
"26" "64643b984d485de22103adde0333c212" 3.77629657900078 -0.153088665965149 3415 45
"27" "7b8990d246b5861296a10efca60c5956" 3.77629657900078 -0.153088665965149 3415 45
"28" "a2d550eae09ce058a97c03293b1cc299" 3.77629657900078 -0.153088665965149 3415 45
"29" "be054f29454be5ce90783be7eaede0b5" 3.77629657900078 -0.153088665965149 3415 45
"30" "c86cfeceb2a706531808d8e4c4a629a7" 2.95155425964695 -0.125398947828106 1751 25
"31" "d997a761fb3b2bc21e19036ffb377b50" 2.04203558776312 -0.0805074220282944 1362 5
"32" "2f5e150e965b9b3f07a3f9f06dfba2b4" 3.68033036982543 -0.147396060263381 4076 24
"33" "31d781898c8141d6f0485f9b6446d3bc" 3.68033036982543 -0.147396060263381 4076 24
"34" "49fce012780ad044871ea331473163d7" 3.68033036982543 -0.147396060263381 4076 24
"35" "5ee9d55f23800b77404bea3de10a2427" 3.68033036982543 -0.147396060263381 4076 24
"36" "769c2cdd71e419d3aaabfa118cdc0143" 3.68033036982543 -0.147396060263381 4076 24
"37" "8c1275fa64c0baa00c5a77d22be70599" 3.68033036982543 -0.147396060263381 4076 24
"38" "99a637541f77b7173c3bdef6df263bbd" 3.68033036982543 -0.147396060263381 4076 24
"39" "9d4ea75fdefac331e607936caedbb78f" 3.68033036982543 -0.147396060263381 4076 24
"40" "ab72ccaaf5ffeffa553bb6e1995b61a7" 3.68033036982543 -0.147396060263381 4076 24
